numentre,satis_dem,creenciasS,etnia,estrato,partido_pol,conf_inst
115,1,1,4,4,30,10
116,3,3,3,5,50,10
117,4,3,4,5,0,10
119,4,1,6,5,0,"7,75"
120,4,3,2,3,50,"7,75"
121,1,1,4,3,50,"7,75"
122,4,1,4,5,0,10
123,3,3,2,5,30,10
124,4,3,4,3,30,10
125,4,3,6,3,0,10
126,3,3,4,2,30,"7,75"
128,1,1,3,4,0,10
129,3,3,4,5,0,"7,1875"
130,3,1,6,4,30,"8,875"
131,3,1,2,5,0,10
132,4,1,2,3,0,"7,75"
133,3,2,4,3,0,10
134,4,2,4,2,50,"9,4375"
135,4,1,4,5,30,10
136,3,3,6,5,0,"8,3125"
137,3,1,2,3,0,"8,3125"
138,3,1,2,4,30,"7,75"
139,2,3,3,5,0,10
140,3,1,3,5,30,"9,4375"
142,3,2,4,5,30,10
143,4,1,4,3,0,10
144,3,1,4,4,30,"7,75"
145,2,1,2,3,0,"5,5"
147,4,3,4,4,0,"8,875"
148,4,1,5,1,0,10
149,3,2,4,4,0,10
151,1,1,6,3,0,"3,25"
152,4,1,4,5,0,10
153,4,1,4,3,0,"7,75"
154,4,1,6,3,0,10
155,3,1,4,3,0,"6,625"
156,3,1,6,2,0,"8,875"
157,3,2,4,4,0,"8,875"
158,1,1,2,3,30,"7,75"
159,3,1,4,3,50,"6,625"
160,3,2,4,3,0,"6,625"
161,1,3,4,3,0,"4,9375"
162,4,3,4,4,0,"7,1875"
163,2,2,6,3,30,"7,75"
164,4,3,6,3,30,"8,875"
165,3,1,4,4,30,10
166,4,3,2,3,30,"7,75"
167,4,2,2,2,0,"8,875"
168,3,1,4,5,30,10
169,3,3,5,3,0,"7,75"
170,3,1,4,3,30,"9,4375"
171,3,2,6,5,0,"7,75"
172,3,1,2,3,0,"7,1875"
173,3,1,4,3,0,"8,3125"
174,3,1,4,3,30,"8,875"
175,1,3,4,3,30,"9,4375"
176,4,1,2,4,0,"7,75"
177,4,3,2,5,0,10
178,3,1,4,5,30,10
179,3,1,3,3,30,"8,3125"
180,1,1,4,3,30,"6,625"
181,3,1,4,5,0,"8,875"
183,4,3,2,3,0,"8,875"
184,3,1,2,1,30,"9,4375"
185,4,3,6,5,30,"7,1875"
186,3,2,4,4,30,"9,4375"
187,3,1,4,3,50,10
188,4,1,4,3,30,10
189,3,1,6,3,30,"8,875"
190,3,2,4,3,30,"9,4375"
191,3,1,3,2,0,"7,1875"
192,4,1,4,5,0,"8,3125"
193,3,1,2,5,30,"9,4375"
194,4,3,4,3,0,10
195,3,3,2,3,0,"8,875"
196,3,1,2,3,0,10
197,4,1,2,4,30,10
198,3,3,2,3,0,"8,3125"
199,4,1,2,5,0,10
200,3,3,2,4,0,"8,875"
201,1,1,3,4,0,"7,1875"
202,3,1,2,5,30,10
204,3,1,3,1,0,"8,3125"
205,3,1,3,4,30,"7,75"
206,1,1,2,5,0,10
207,1,3,3,4,0,"9,4375"
209,4,3,2,3,30,"9,4375"
211,3,1,2,1,0,10
212,3,1,4,5,30,"9,4375"
213,1,3,3,5,30,"4,9375"
214,3,1,6,4,50,10
215,4,1,4,4,0,"7,1875"
216,3,1,4,5,30,10
217,3,1,6,3,30,"9,4375"
219,3,3,5,5,0,10
220,3,1,3,4,30,"7,75"
221,3,1,4,3,0,"9,4375"
222,3,1,4,5,30,"9,4375"
223,4,1,6,5,30,"9,4375"
224,4,3,2,4,30,10
225,3,1,6,3,30,"8,3125"
226,3,1,4,5,0,"8,3125"
227,3,1,5,5,30,"8,875"
228,1,1,4,3,30,"6,0625"
229,4,3,4,3,0,"9,4375"
230,4,1,4,3,0,"7,1875"
231,3,3,6,3,30,"7,1875"
232,3,3,6,3,0,"8,3125"
233,4,3,6,4,0,"7,75"
234,3,3,4,5,0,"6,625"
235,3,2,6,3,30,10
236,3,3,5,5,0,"8,875"
237,3,3,4,1,50,"8,875"
239,3,3,4,5,30,"8,875"
240,4,1,4,3,0,"8,875"
242,3,3,4,4,0,"8,875"
243,3,1,3,3,0,"8,3125"
244,3,3,4,3,0,"7,1875"
245,1,3,5,5,0,"6,625"
246,4,1,1,1,30,"8,3125"
247,3,3,2,2,0,10
248,3,3,2,3,0,"9,4375"
250,2,3,2,4,0,"8,3125"
251,4,3,4,3,0,10
252,4,3,4,3,0,10
255,2,1,6,1,70,"8,3125"
256,4,1,4,5,30,10
257,1,1,3,3,50,"7,75"
258,1,1,4,3,30,10
259,2,2,2,2,30,"5,5"
260,3,1,4,3,0,"7,75"
261,3,1,4,3,30,10
262,4,3,2,3,30,10
263,3,1,2,2,0,"5,5"
264,3,1,4,4,30,10
265,4,3,4,3,0,10
266,3,2,4,3,50,"7,75"
267,4,3,4,3,50,"9,4375"
268,4,1,3,3,30,"8,3125"
270,3,1,4,4,0,"8,3125"
271,4,1,4,5,30,10
272,3,2,6,3,0,"8,875"
273,4,3,6,3,30,"6,625"
274,3,3,2,2,0,10
275,3,1,4,2,0,"7,75"
276,1,3,4,1,50,"7,75"
277,3,1,4,3,0,"7,75"
278,4,1,2,5,0,10
279,3,2,2,1,30,"6,0625"
280,4,3,4,4,0,10
282,3,1,2,3,0,"8,875"
283,3,3,3,1,30,10
285,3,1,2,5,50,"9,4375"
286,1,3,4,3,0,"8,875"
287,4,1,2,3,30,"6,625"
288,4,3,4,4,0,10
289,4,3,4,3,30,"9,4375"
290,3,3,6,2,30,"9,4375"
291,4,2,4,3,0,"8,875"
292,3,3,5,4,0,10
293,3,3,4,4,30,10
294,4,2,6,4,30,"7,1875"
295,4,3,6,3,30,"6,0625"
296,3,3,3,3,0,"9,4375"
297,4,1,6,5,30,10
299,4,1,5,3,30,"7,75"
300,3,1,4,5,0,"6,0625"
301,3,3,4,5,0,"9,4375"
302,4,2,4,2,50,10
303,4,3,4,3,0,"7,75"
304,3,1,4,3,30,"8,3125"
306,4,1,4,4,30,10
307,4,3,4,5,0,"9,4375"
308,3,1,4,4,50,"7,75"
309,4,1,3,2,50,"8,875"
311,3,3,2,5,0,"9,4375"
312,1,1,5,3,0,10
313,2,1,6,3,50,"6,625"
314,3,2,6,5,50,"8,3125"
316,3,3,4,4,0,"9,4375"
317,3,1,2,4,0,10
318,3,1,4,4,0,"8,875"
319,3,3,4,5,0,"8,875"
320,3,1,4,4,30,"8,3125"
321,3,3,2,3,0,"8,875"
323,3,3,4,1,0,"6,625"
326,4,3,2,5,30,10
327,3,1,3,3,0,"7,75"
328,4,3,6,4,0,10
329,3,1,4,4,0,"7,75"
331,2,1,4,4,0,"7,1875"
332,3,1,4,5,30,"9,4375"
333,3,1,4,4,0,"9,4375"
335,4,1,4,3,30,"9,4375"
336,4,1,4,4,30,"8,875"
339,4,1,4,4,0,"7,75"
340,3,3,4,4,0,"9,4375"
341,3,2,4,3,0,"6,625"
342,4,2,4,3,0,"8,3125"
343,3,3,2,4,0,"7,75"
344,4,3,2,4,0,10
345,3,1,4,4,0,"9,4375"
346,3,1,4,2,0,"9,4375"
347,3,3,4,3,50,10
348,4,1,4,3,0,10
349,1,2,3,4,50,"6,625"
350,4,1,4,3,0,"8,3125"
351,1,1,6,3,0,"6,0625"
352,4,3,2,5,0,10
353,3,1,5,3,0,10
354,1,1,2,3,0,"7,1875"
355,3,1,3,3,0,"8,875"
356,3,3,6,2,30,"8,3125"
357,3,1,4,3,30,"9,4375"
358,3,1,3,3,0,"8,875"
359,3,1,6,3,0,"9,4375"
360,3,1,6,3,30,"8,875"
361,2,1,4,3,0,10
363,4,1,4,4,0,10
364,3,1,4,5,30,10
365,3,1,4,3,30,10
366,1,1,4,3,30,"9,4375"
367,4,1,4,3,0,10
368,3,1,4,3,30,"8,875"
370,4,1,6,3,0,"8,3125"
371,3,3,4,4,50,"9,4375"
372,3,1,4,5,50,"9,4375"
373,3,1,6,4,0,"8,3125"
374,3,3,2,1,50,"9,4375"
375,3,3,4,3,30,"8,3125"
377,4,3,4,4,30,10
378,3,3,2,2,0,"8,875"
379,4,3,5,3,30,10
380,4,3,2,5,0,"9,4375"
381,4,1,4,4,0,10
383,3,3,2,1,30,10
384,1,1,2,4,0,"8,3125"
385,3,1,2,3,0,"8,3125"
387,3,2,5,4,0,"6,625"
388,4,3,2,3,50,10
389,3,3,6,3,0,"9,4375"
390,4,3,2,5,30,"8,875"
391,4,3,5,4,0,1
392,3,1,3,1,30,"9,4375"
394,4,3,4,4,30,10
396,4,2,4,4,0,"7,75"
397,3,3,4,5,0,10
398,3,3,4,4,30,"9,4375"
399,3,1,4,3,30,10
401,3,3,3,3,30,"8,3125"
402,3,3,4,3,0,"9,4375"
403,1,1,6,3,0,"7,1875"
404,3,1,3,5,0,"7,1875"
405,3,3,6,3,0,"8,3125"
406,4,3,2,4,0,"9,4375"
407,3,1,4,3,30,"7,1875"
408,3,1,4,5,0,10
409,3,1,2,2,30,"8,875"
411,3,2,6,3,0,"9,4375"
412,3,1,2,4,0,"7,1875"
413,2,1,4,3,0,"3,8125"
414,4,3,6,3,0,10
415,2,1,4,2,0,"5,5"
416,3,3,5,3,0,"8,875"
418,4,3,2,3,0,10
419,3,2,4,4,0,10
420,1,1,4,5,0,"9,4375"
421,3,3,6,3,0,"3,8125"
422,3,2,4,4,70,"8,3125"
423,3,3,4,5,0,10
424,1,2,4,4,0,"7,75"
425,3,1,4,5,0,"7,75"
426,3,3,2,4,0,10
427,3,2,4,5,50,"8,875"
428,4,1,4,5,0,"8,875"
429,3,1,4,3,0,"9,4375"
430,3,1,2,5,0,10
431,3,1,4,4,0,"7,75"
432,3,3,4,4,30,"9,4375"
433,3,1,2,4,0,"8,875"
434,3,3,6,2,0,"9,4375"
435,3,3,4,2,50,"8,3125"
436,4,1,4,3,0,"8,3125"
437,3,3,4,4,0,"7,1875"
438,4,1,4,3,30,10
439,3,1,3,5,0,"7,75"
440,4,3,3,3,0,"9,4375"
441,4,3,6,2,0,"9,4375"
442,3,3,2,4,0,10
444,4,2,4,3,0,10
445,3,2,4,5,0,10
446,2,3,2,3,30,"8,875"
447,3,3,6,3,30,"8,875"
448,4,2,4,4,0,"8,3125"
449,3,1,4,3,0,"7,75"
450,4,1,2,3,30,10
451,3,1,2,3,0,"9,4375"
452,3,3,4,4,30,10
453,3,1,4,3,0,"8,875"
454,1,1,6,3,0,10
455,2,3,4,2,50,"8,3125"
456,3,1,6,4,30,10
458,3,1,4,3,0,"8,3125"
459,4,1,4,4,0,"8,875"
460,3,1,6,2,0,10
461,3,2,4,3,0,"9,4375"
463,4,1,6,2,30,10
464,3,3,3,4,0,"7,75"
465,3,1,2,4,0,10
466,2,1,4,3,30,"8,3125"
467,4,3,4,4,0,"9,4375"
468,4,1,4,3,50,10
469,3,3,4,3,0,"9,4375"
470,4,3,2,3,50,"8,875"
471,2,3,3,3,0,"8,3125"
472,3,3,4,1,30,10
473,3,1,4,3,30,"8,875"
475,4,2,2,3,30,10
476,4,1,4,5,30,10
477,4,2,4,4,0,10
478,3,3,5,3,50,"8,875"
479,4,1,4,4,0,"9,4375"
480,3,3,4,3,0,10
481,3,1,4,4,0,"8,3125"
482,3,1,4,4,0,"8,875"
484,3,1,4,4,50,"8,875"
485,3,1,4,5,30,"6,0625"
486,2,1,4,3,0,"7,75"
488,3,3,6,5,30,10
489,3,2,4,3,50,10
492,4,1,4,5,0,10
495,2,1,4,5,30,"4,375"
497,4,3,7,3,30,10
498,3,1,4,5,0,"8,875"
499,3,1,6,5,0,"8,3125"
500,4,3,5,2,0,10
502,4,1,5,5,0,"4,9375"
503,3,1,3,2,50,"8,875"
505,2,1,6,4,30,"9,4375"
507,4,3,4,5,0,10
509,4,1,4,4,0,10
510,3,2,6,3,0,10
511,3,1,4,5,0,"8,3125"
512,3,1,4,4,0,"7,75"
514,4,3,2,3,30,"9,4375"
515,2,1,4,3,30,"6,625"
516,3,3,4,3,0,"7,75"
518,3,1,5,4,0,"7,1875"
519,4,1,2,5,0,10
520,4,1,4,4,0,"8,875"
521,3,1,4,4,0,"8,3125"
522,3,3,3,4,0,10
523,3,1,4,3,0,10
524,3,1,6,3,50,10
525,4,3,2,5,0,10
526,3,1,6,5,30,10
527,3,1,4,4,0,"7,1875"
529,1,1,4,4,0,"8,3125"
530,4,1,4,3,30,10
531,4,2,4,5,30,"8,3125"
532,3,1,3,4,0,"8,875"
534,3,3,4,3,30,"7,75"
535,2,2,6,3,30,"7,75"
536,3,3,4,4,0,"5,5"
537,3,1,7,5,0,"7,1875"
543,4,2,4,5,0,"8,3125"
546,3,3,6,2,0,"7,1875"
549,3,2,5,3,30,"8,3125"
551,3,3,3,3,30,"6,625"
552,4,2,4,3,0,10
553,2,1,3,3,30,"8,875"
554,4,3,4,3,30,10
555,3,2,2,1,50,"8,3125"
556,3,2,4,5,0,10
557,3,2,4,5,30,"8,3125"
558,3,3,4,3,0,"8,3125"
559,3,1,4,5,0,"6,625"
560,4,1,4,2,0,10
562,3,3,6,5,0,10
563,4,3,2,3,0,10
564,4,1,6,3,0,"8,875"
565,3,1,5,1,50,"7,75"
566,4,3,6,3,0,"8,3125"
568,1,3,5,5,0,10
569,3,1,4,3,0,"8,3125"
570,3,1,7,4,0,"9,4375"
571,4,1,3,3,30,"8,875"
572,3,1,3,3,0,"6,625"
573,3,3,3,4,70,"6,625"
574,4,1,3,3,30,"7,1875"
575,3,1,3,5,50,"8,3125"
576,4,3,3,1,0,"7,1875"
577,4,3,3,4,30,"7,75"
578,3,2,3,5,30,"7,75"
579,3,3,3,3,50,"7,75"
581,4,3,3,1,0,"5,5"
582,4,3,3,2,0,"9,4375"
583,1,3,3,3,30,"6,625"
584,4,3,3,4,0,"9,4375"
585,3,2,3,4,0,"8,875"
586,3,1,3,3,0,"9,4375"
587,3,3,3,5,0,"8,3125"
588,3,1,5,3,50,"8,875"
589,3,2,2,4,30,"8,3125"
590,1,2,3,4,0,"7,1875"
591,4,3,3,2,0,"8,875"
592,3,3,3,4,0,"6,625"
593,1,1,3,4,0,"7,75"
595,3,1,3,4,30,"8,3125"
597,2,1,3,3,50,"8,3125"
598,3,3,3,3,30,"7,1875"
599,3,2,3,5,50,"7,75"
600,3,3,3,3,0,"7,75"
601,1,1,3,1,30,"7,75"
602,3,3,3,3,0,"7,75"
603,1,3,3,4,30,"3,25"
604,1,2,3,4,30,"3,25"
605,3,1,3,5,30,10
607,3,3,3,2,50,"7,1875"
609,4,2,3,1,30,"9,4375"
610,3,1,3,4,0,"9,4375"
611,4,3,2,4,0,10
612,4,1,4,4,0,"9,4375"
613,2,3,4,3,0,"7,75"
615,4,1,5,3,0,10
616,3,3,2,3,0,"9,4375"
619,3,1,6,4,30,"8,875"
620,4,3,6,3,0,10
621,3,1,2,3,0,"8,3125"
623,2,3,2,3,0,"6,625"
624,4,3,4,3,0,"7,75"
625,3,3,2,5,0,"8,875"
627,4,1,4,5,0,"8,3125"
628,3,1,3,3,0,"7,75"
629,2,1,6,4,0,"8,3125"
630,4,3,2,3,0,"8,3125"
631,3,1,5,4,0,"6,625"
634,4,1,4,4,0,10
635,3,1,4,4,0,10
636,4,3,4,3,0,10
639,1,1,6,2,0,10
640,3,1,4,3,30,"7,1875"
641,3,1,4,4,0,"8,875"
642,3,2,6,4,0,"9,4375"
643,4,2,4,4,30,"7,75"
644,4,1,6,3,30,10
646,1,1,4,3,30,"6,625"
647,2,3,4,3,0,"7,1875"
648,3,3,2,3,0,"8,875"
649,3,1,4,2,30,"6,0625"
650,3,2,4,3,50,"9,4375"
651,1,1,6,4,0,"8,3125"
652,3,2,4,3,0,10
653,4,1,2,5,0,10
654,4,1,4,5,0,"9,4375"
656,4,1,4,4,0,10
657,3,3,4,4,50,"8,875"
658,3,2,2,3,0,"8,3125"
659,4,1,1,4,0,10
661,4,1,4,3,50,10
663,3,1,4,4,30,"6,0625"
664,1,3,4,1,50,"4,9375"
665,1,3,3,1,50,"8,3125"
666,3,1,2,4,0,"8,3125"
667,4,1,4,1,50,"8,875"
670,3,1,4,3,0,"6,0625"
671,3,3,4,4,0,10
672,4,1,4,4,0,"7,75"
673,3,1,4,3,0,"7,75"
674,3,3,4,3,0,"9,4375"
675,3,3,3,4,30,"7,1875"
676,3,2,4,5,0,"7,1875"
677,3,1,4,3,0,"7,75"
678,4,3,6,3,50,10
679,2,2,6,2,0,"6,625"
680,3,3,4,3,0,"7,75"
681,2,1,1,2,0,10
682,4,1,5,5,0,10
683,3,1,4,1,0,"7,1875"
684,4,3,4,5,0,10
685,2,3,3,3,0,10
686,4,1,4,3,0,"8,875"
687,2,1,6,5,50,"9,4375"
688,3,2,4,4,30,"9,4375"
689,4,1,6,1,0,"9,4375"
690,1,1,4,4,0,"3,25"
692,1,3,4,4,30,"3,25"
693,2,3,6,4,30,"9,4375"
694,3,1,4,5,50,"8,3125"
695,3,3,3,2,0,"7,1875"
696,4,1,4,3,0,10
697,4,1,5,3,30,"7,75"
698,3,3,4,4,0,"8,3125"
699,3,3,4,4,0,"9,4375"
700,3,3,4,3,0,"7,75"
701,1,3,4,1,30,"6,625"
703,2,1,4,4,0,"5,5"
704,3,1,6,2,0,"3,25"
705,1,1,6,4,30,"4,375"
706,4,3,6,3,0,"9,4375"
707,3,2,4,3,30,"6,0625"
708,4,1,5,4,30,"8,875"
709,4,1,3,1,50,"6,0625"
710,1,3,4,2,30,"7,75"
711,1,2,6,3,50,"8,3125"
712,3,1,6,2,0,"7,1875"
714,4,2,4,4,30,"7,75"
715,3,2,4,4,0,"7,1875"
716,1,2,6,3,30,"6,0625"
717,3,2,5,4,0,"9,4375"
718,3,3,3,3,50,"5,5"
719,3,1,6,3,30,"8,3125"
720,3,1,6,3,50,"8,875"
721,4,1,6,5,30,10
722,3,1,6,4,30,10
723,4,1,6,4,0,10
724,4,1,2,4,0,"2,6875"
725,4,2,4,2,0,"8,3125"
726,4,1,3,5,0,"8,875"
727,3,1,6,3,0,"8,3125"
728,3,1,4,3,0,"7,75"
729,3,1,4,3,30,"6,0625"
731,3,3,4,4,0,10
733,3,3,4,3,0,10
734,3,1,4,4,0,"8,875"
735,3,1,4,3,0,"8,875"
736,4,1,3,3,0,10
737,4,3,6,4,0,10
738,3,1,4,5,0,"8,875"
739,4,2,5,2,0,"8,3125"
740,3,3,6,3,0,10
741,4,1,5,4,0,10
743,3,3,6,5,0,10
744,2,3,3,3,0,"7,75"
745,4,3,4,3,0,10
746,4,1,3,5,0,10
747,4,2,4,5,0,10
748,3,3,4,3,0,10
749,4,3,6,3,0,10
751,4,1,6,5,30,10
752,3,2,4,4,0,"8,875"
753,3,1,4,5,0,"6,625"
754,3,1,5,3,0,"7,75"
756,4,1,4,5,0,10
757,4,3,4,4,30,"7,75"
758,3,1,4,2,0,"5,5"
760,3,1,4,3,0,"8,3125"
761,4,1,4,4,0,"8,3125"
762,1,1,6,1,30,"6,625"
763,2,1,6,3,0,"9,4375"
764,4,3,5,5,0,"7,75"
765,4,3,4,5,50,"6,625"
766,4,3,4,4,0,"8,875"
767,4,1,4,5,0,"9,4375"
768,1,1,6,3,30,"6,0625"
769,1,2,4,1,0,"6,0625"
770,3,1,6,4,0,"6,625"
771,3,1,4,3,0,"7,75"
772,3,3,4,3,30,"8,3125"
773,3,2,4,3,0,"7,1875"
775,2,1,6,3,0,"7,75"
776,4,1,6,1,0,"7,75"
777,3,1,4,5,0,"8,3125"
778,4,1,4,3,0,"7,1875"
779,1,1,4,3,0,"9,4375"
780,2,3,5,4,30,"8,3125"
781,3,1,4,3,0,"8,3125"
782,3,1,3,4,0,"7,75"
783,4,3,4,4,30,10
784,4,1,4,4,0,"8,875"
785,1,3,6,3,30,"8,3125"
786,4,3,6,3,0,"9,4375"
787,4,1,4,3,30,"8,3125"
788,4,1,6,5,0,"7,75"
789,1,1,5,5,0,10
790,4,1,4,4,30,10
791,1,1,4,5,0,"9,4375"
794,3,3,3,5,0,10
795,1,1,3,5,50,"6,0625"
796,4,3,4,3,0,10
797,4,1,4,4,0,"9,4375"
798,2,1,6,4,30,"8,875"
799,3,3,4,2,30,"7,75"
801,3,1,3,3,0,"5,5"
802,3,2,2,2,30,"8,3125"
803,4,1,2,5,0,"8,3125"
804,3,3,3,2,0,"8,3125"
805,3,3,5,3,30,"8,875"
806,3,3,2,2,0,"7,75"
807,3,3,6,5,0,"8,875"
808,4,1,2,3,0,10
810,3,3,2,3,0,"8,3125"
811,2,2,2,3,30,"7,1875"
813,4,1,3,5,30,"9,4375"
814,4,3,3,3,50,"8,875"
815,4,3,6,3,0,10
816,3,2,4,4,0,"8,875"
817,4,3,4,2,30,"8,875"
818,3,1,3,4,50,"8,3125"
819,4,3,6,5,0,10
820,4,1,4,3,0,"8,875"
821,1,1,2,3,30,"5,5"
822,1,2,2,1,50,"5,5"
823,1,3,2,2,30,"7,75"
824,3,2,2,1,30,10
825,3,3,6,4,0,10
826,3,3,5,4,0,"8,875"
827,4,1,4,3,0,"7,1875"
829,4,3,4,4,50,"7,1875"
830,4,2,4,3,30,"9,4375"
831,1,1,4,3,0,"7,1875"
832,4,1,4,4,0,"7,1875"
834,3,3,4,4,0,"8,3125"
835,3,1,4,3,0,"9,4375"
836,3,1,7,4,0,"2,125"
837,3,1,6,5,0,"8,3125"
838,4,1,4,4,0,"9,4375"
839,3,2,4,3,30,"7,75"
840,3,1,4,4,30,"8,875"
841,4,3,4,3,0,"8,875"
845,2,1,1,3,0,"5,5"
846,3,3,4,4,0,10
847,3,1,5,2,0,"8,875"
848,3,1,4,3,30,"5,5"
849,3,2,6,4,0,"7,75"
851,4,3,6,3,30,"7,75"
853,3,3,4,4,0,"8,3125"
854,1,1,6,3,30,"4,375"
855,4,3,6,3,30,10
856,4,2,6,3,0,"9,4375"
857,4,3,4,5,0,"7,75"
858,3,1,6,1,50,"3,8125"
860,4,2,6,4,30,10
864,4,3,4,3,0,"9,4375"
866,3,2,4,4,30,"8,875"
867,3,3,4,3,0,"8,3125"
869,1,2,6,3,0,10
870,4,3,4,5,0,"9,4375"
871,3,2,4,4,30,"8,875"
872,2,3,4,3,30,10
873,4,1,4,4,0,10
874,3,1,4,5,0,"8,875"
875,3,3,6,4,0,"8,3125"
876,3,1,4,3,0,"6,625"
877,3,1,4,3,0,"7,1875"
880,3,1,4,1,30,"8,875"
881,4,1,4,4,0,"8,875"
882,3,1,4,4,0,"7,75"
883,3,1,3,5,0,"6,0625"
884,3,1,6,3,0,"6,0625"
885,3,1,4,4,30,"6,625"
886,3,3,3,2,70,10
887,4,3,4,3,0,10
888,4,1,4,4,0,10
889,3,1,4,3,0,"7,75"
891,4,1,4,4,0,10
892,4,3,4,3,30,"8,875"
893,4,1,4,4,0,"7,1875"
894,3,1,4,3,0,"7,1875"
895,3,3,3,4,0,10
896,3,1,4,5,50,"8,875"
897,3,3,4,5,0,"7,1875"
898,2,3,6,5,50,"9,4375"
899,3,3,7,4,0,"7,75"
901,3,1,3,5,0,10
902,4,3,4,3,30,"6,0625"
903,3,1,4,4,0,10
904,3,1,4,3,30,"7,75"
905,4,1,4,5,0,10
906,3,1,4,4,0,"7,75"
907,3,1,4,4,0,"8,875"
908,1,1,4,3,30,10
909,3,1,4,3,30,"7,1875"
910,4,3,4,1,0,"7,1875"
911,3,1,4,4,0,"7,75"
912,3,1,4,4,0,10
913,4,1,5,4,30,10
914,3,3,4,3,0,10
915,1,1,4,2,50,"7,75"
917,3,3,4,3,0,"8,875"
919,3,1,4,4,0,"7,75"
920,3,3,4,3,0,"9,4375"
921,4,1,4,3,0,"9,4375"
922,4,1,4,3,0,10
923,3,1,4,3,0,"7,75"
924,1,2,4,3,50,"5,5"
925,3,3,4,3,0,"9,4375"
926,3,1,6,3,0,"7,75"
927,3,3,4,4,0,10
928,3,2,4,3,0,10
929,4,3,4,3,30,"8,875"
930,2,1,5,5,30,"8,3125"
931,3,2,4,4,0,"7,75"
932,3,3,4,3,50,"9,4375"
933,2,2,4,3,30,"5,5"
934,4,3,4,3,0,"7,75"
935,2,2,4,4,30,"8,875"
937,2,1,4,5,0,"9,4375"
938,4,1,6,2,0,"9,4375"
939,2,3,6,5,0,10
940,4,2,6,5,30,"7,75"
941,4,2,3,2,30,"5,5"
942,3,1,3,4,0,"6,0625"
943,3,1,3,3,0,"9,4375"
944,3,3,3,3,0,"7,1875"
945,3,1,3,2,30,"6,0625"
946,1,1,3,3,30,"7,1875"
947,3,1,3,4,0,"7,75"
948,1,3,3,3,0,"7,75"
